Date,Calories (kcal),Protein (g),Fat (g),Carbs (g)
6/14/25,1709,177,70,103
6/15/25,1517,139,56,130
6/16/25,1646,172,53,121
6/17/25,1697,164,52,159
6/18/25,1639,180,65,98
6/19/25,1739,185,71,93
6/20/25,1771,201,66,112
6/21/25,1754,179,51,161
6/22/25,1753,190,60,122
6/23/25,1513,170,44,119
6/24/25,1861,215,64,119
6/25/25,1737,199,60,113
6/26/25,1779,170,71,122
6/27/25,1707,196,56,112
6/28/25,1843,203,72,101
6/29/25,1771,192,69,107
6/30/25,1709,167,67,117
7/1/25,1796,177,79,102
7/2/25,1799,206,66,102
7/3/25,1880,177,75,135
7/4/25,1875,172,88,106
7/5/25,1938,195,79,114
7/6/25,2110,200,92,127
7/7/25,2009,193,77,132
7/8/25,2170,194,84,162
7/9/25,2116,197,86,146
7/10/25,2305,204,83,195
7/11/25,2228,201,78,203
7/12/25,2527,179,103,231