id,dish_name,protein,carbs,fats,fiber,calories,liked,meal_type,date,feeling_after
01234567-89ab-cdef-0123-456789abcdef,Daily Totals,177,103,70,,1709,,daily,2025-06-14,satisfied and energized
11234567-89ab-cdef-0123-456789abcdef,Daily Totals,139,130,56,,1517,,daily,2025-06-15,good energy levels
21234567-89ab-cdef-0123-456789abcdef,Daily Totals,172,121,53,,1646,,daily,2025-06-16,felt great all day
31234567-89ab-cdef-0123-456789abcdef,Daily Totals,164,159,52,,1697,,daily,2025-06-17,well fueled and strong
41234567-89ab-cdef-0123-456789abcdef,Daily Totals,180,98,65,,1639,,daily,2025-06-18,good sustained energy
51234567-89ab-cdef-0123-456789abcdef,Daily Totals,185,93,71,,1739,,daily,2025-06-19,energetic and ready for workouts
61234567-89ab-cdef-0123-456789abcdef,Daily Totals,201,112,66,,1771,,daily,2025-06-20,excellent energy for running
71234567-89ab-cdef-0123-456789abcdef,Daily Totals,179,161,51,,1754,,daily,2025-06-21,very satisfied and energized
81234567-89ab-cdef-0123-456789abcdef,Daily Totals,190,122,60,,1753,,daily,2025-06-22,great energy for tempo run
91234567-89ab-cdef-0123-456789abcdef,Daily Totals,170,119,44,,1513,,daily,2025-06-23,good overall energy
a1234567-89ab-cdef-0123-456789abcdef,Daily Totals,215,119,64,,1861,,daily,2025-06-24,full and satisfied
b1234567-89ab-cdef-0123-456789abcdef,Daily Totals,199,113,60,,1737,,daily,2025-06-25,solid energy levels
c1234567-89ab-cdef-0123-456789abcdef,Daily Totals,170,122,71,,1779,,daily,2025-06-26,good steady energy
d1234567-89ab-cdef-0123-456789abcdef,Daily Totals,196,45,56,,1400,,daily,2025-06-27,starting to feel sluggish
e1234567-89ab-cdef-0123-456789abcdef,Daily Totals,203,38,72,,1350,,daily,2025-06-28,low energy and tired
f1234567-89ab-cdef-0123-456789abcdef,Daily Totals,192,42,69,,1420,,daily,2025-06-29,very low energy all day
01234567-89ab-cdef-0123-456789abcd00,Daily Totals,167,49,67,,1380,,daily,2025-06-30,lethargic and unmotivated
11234567-89ab-cdef-0123-456789abcd01,Daily Totals,177,51,79,,1450,,daily,2025-07-01,drained and heavy legs
21234567-89ab-cdef-0123-456789abcd02,Daily Totals,206,47,66,,1420,,daily,2025-07-02,no energy for planned workout
31234567-89ab-cdef-0123-456789abcd03,Daily Totals,177,135,75,,1880,,daily,2025-07-03,energy starting to return
41234567-89ab-cdef-0123-456789abcd04,Daily Totals,172,106,88,,1875,,daily,2025-07-04,feeling better today
51234567-89ab-cdef-0123-456789abcd05,Daily Totals,195,114,79,,1938,,daily,2025-07-05,much more energized
61234567-89ab-cdef-0123-456789abcd06,Daily Totals,200,127,92,,2110,,daily,2025-07-06,back to normal energy
71234567-89ab-cdef-0123-456789abcd07,Daily Totals,193,132,77,,2009,,daily,2025-07-07,strong and well-fueled
81234567-89ab-cdef-0123-456789abcd08,Daily Totals,194,162,84,,2170,,daily,2025-07-08,excellent energy for long run
91234567-89ab-cdef-0123-456789abcd09,Daily Totals,197,146,86,,2116,,daily,2025-07-09,sustained energy all day
a1234567-89ab-cdef-0123-456789abcd10,Daily Totals,204,195,83,,2305,,daily,2025-07-10,very well fueled
b1234567-89ab-cdef-0123-456789abcd11,Daily Totals,201,203,78,,2228,,daily,2025-07-11,high energy levels
c1234567-89ab-cdef-0123-456789abcd12,Daily Totals,179,231,103,,2527,,daily,2025-07-12,fully satisfied and energized